title,salary,lower,upper,currency_unit,address,time,rank,experience,number_of_recruits,working_form,sex,company,description,requirements,benefit,url
Front-End Developer (Html/Css/ JavaScript ),8-25triệu,8.0,25.0,VND,"Hồ Chí Minh: 1073/23 Cách mạng tháng 8, phường 7, quận Tân Bình, TP HCM, Tân Bình",31-12-2023,Nhân viên,1,10,Toàn thời gian,Nam,Mona Media,"Trực tiếp tham gia các dự án cho khách hàng, lập trình các sản phẩm HTML với hiệu ứng hiện đại, chuẩn responsive trên các thiết bị từ PC, Desktop, Mobile,... Cắt HTML, sử dụng HTML5/CSS3, Jquery để làm giao diện , thực hiện các ý tưởng thiết kế, ý tưởng xây dựng của khách hàng Kiểm thử và nhập liệu mẫu theo đúng dữ liệu mà mình đã cắt html, kiểm tra điều chỉnh lại code nếu có lỗi phát sinh Thực hiện các công việc liên quan theo sự phân công của cấp trên","Có ít nhất 2 năm kinh nghiệm với HTML, CSS, JS Có kinh nghiệm cắt giao diện từ tool design (Figma, Photoshop...) Có kinh nghiệm làm việc với SCSS, LESS, SASS. Có kinh nghiệm Javascript, Jquery Có kinh nghiệm tùy biến giao diện trên nhiều nền tảng trình duyệt web khác nhau (responsive) Có kinh nghiệm tùy biến file theme của WordPress là lợi thế Có kinh nghiệm làm việc với template engine (GULP, GRUNT) là điểm cộng. Biết kỹ năng sử dụng Git",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Ffront-end-developer-html-css-javascript%2F521612.html%3Fta_source%3DITJobs_LinkDetail
Nhân Viên Lập Trình PHP - Wordpress,7-15triệu,7.0,15.0,VND,"Hồ Chí Minh: 1073/23 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Tân Bình",31-12-2023,Nhân viên,0,5,Toàn thời gian,Không yêu cầu,Mona Media,"Thực hiện chuyển Website từ HTML tĩnh sang Website động bằng CMS Wordpress Triển khai các dự án, giải pháp thực tế cho khách hàng Trực tiếp tham gia các dự án với khách hàng, được trải nghiệm thực tế Phát triển các tính năng mới và bảo trì hệ thống","PHP căn bản, luôn được đào tạo Update tay nghề liên tục HTML/CSS, Javascript, Jquery căn bản Biết sử dụng CMS Wordpress theme và hiểu về Wordpress plugin Biết Wordpress core theme căn bản Tư duy lập trình tốt, có khả năng nắm bắt và học hỏi nhanh Không ngại thử thách với những ngôn ngữ, framework lập trình mới",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fnhan-vien-lap-trinh-php-wordpress%2F510125.html%3Fta_source%3DITJobs_LinkDetail
Project Manager (Japanese),,,,,"Hồ Chí Minh: CT Building – 56 Yen The, Ward 2, Tân Bình",30-12-2023,Trưởng/Phó phòng,5,1,Toàn thời gian,Không yêu cầu,CÔNG TY CỔ PHẦN BSTAR SOLUTIONS,,,"Attractive income. 13th – 16th month salary (based on performance). Bonuses project’s performance. Full salary during probation time. Salary review once/year. PVI Health Care Special health and accident insurance package. Activities: Happy hour every month, Company Trip, Year End Party, and other activities... Have opportunity for oversea training, business trip... and work with global team and foreign clients. Good working environment in a professional, friendly, well-equipped",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fproject-manager-japanese%2F1186566.html%3Fta_source%3DITJobs_LinkDetail
Associate Product Manager,1.000USD,1000.0,1000.0,USD,"Hà Nội: Tầng 9, toà nhà Coninco, số 4 Tôn Thất Tùng,, Đống Đa, Thứ 2 Thứ 6 (từ 09:00 đến 18:00)",30-12-2023,Nhân viên,1,1,Toàn thời gian,Không yêu cầu,Công ty Cổ phần HouseNow,"Work with our product team to execute product vision within the engineering team Develop requirements, wireframes, user flows and prototypes, with guidance from the lead product manager to communicate specs to both design and engineering teams Define analytics requirements and leverage analytics for the purpose of understanding aspects like adoption, performance, retention, feature usage and more Work alongside an experienced technical team to launch and measure the performance of new products and features post-launch Manage feature backlog and prioritize based on current business objectives Collaborate closely with the rest of the Product Management team overseeing other aspects of the overall products Collaborate with a wide variety of functional areas such as sales, engineering, finance, legal, analytics teams, marketing, manufacturing, operations and external partners as needed to develop and provide business plans to meet the market needs","Bachelor’s degree required. Engineering, mathematics, data science, computer science or similar are preferred (but not required) 1+ years in an organization developing consumer apps whether as a product manager or in software, design, business development or related field Demonstrated success in problem-solving in an ambiguous, fast-paced environment Advocate for best practices in user experience Knowledge of data-driven product development is a plus Communication, teamwork and time management skills Good at English communication",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fassociate-product-manager%2F1186532.html%3Fta_source%3DITJobs_LinkDetail
Senior Machine Learning Engineer,40-70triệu,40.0,70.0,VND,"Hà Nội: 88 Láng Hạ, Đống Đa, Thứ 2 Thứ 6 (từ 08:00 đến 18:00)",30-12-2023,Nhân viên,3,1,Toàn thời gian,Không yêu cầu,CÔNG TY TNHH EARABLE VIỆT NAM,"Develop machine learning models for EEG/EMG/EOG brain signal recognition, to predict user states such as focus, stress, emotion, sleep stages, and other relevant information Analyze, apply signal processing algorithms to, or build models for large amounts of data from different sources that provide insights into user's states and behaviors Develop and maintain recommendation systems and health assistants using advanced machine learning techniques Research brain and auditory stimulations for sleep enhancement, cognitive function improvement, psychology treatment and other unlocking brain potentials Work closely with other team members, including neuroscientists, software engineers, and product managers, to deliver high-quality products and services Collaborate with cross-functional teams to develop and implement algorithms and models to solve complex problems.","Bachelor's, Master's degree (Ph.D. preferred) or higher in Computer Science, data science, machine learning, or a related field. At least 3 years of experience in building machine learning models and applying machine learning techniques in the industry Strong programming skills in Python (and/or C/C++) and experience with deep learning frameworks such as TensorFlow, PyTorch, or Keras Optional 1: Strong knowledge of signal processing techniques and/or experience working with EEG brain signals Optional 2: Experience with natural language processing (c), chatbot and/or recommendation systems,... Strong analytical and problem-solving skills & good communication and collaboration skills",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fsenior-machine-learning-engineer%2F1186565.html%3Fta_source%3DITJobs_LinkDetail
System Development (Junior/Middle/Senior),45triệu,45.0,45.0,VND,"Hà Nội: Tòa nhà A2/D21, ngõ 82, phường Dịch Vọng Hậu, Cầu Giấy",30-11-2023,Nhân viên,2,10,Toàn thời gian,Không yêu cầu,CHI NHÁNH CÔNG TY CỔ PHẦN PGT SOLUTIONS TẠI HÀ NỘI,,,"Thu nhập hấp dẫn phụ cấp ăn trưa, điện thoại ... Lương Upto 45 mil/tháng (tùy vị trí và năng lực) Gói thưởng: Từ 2 month / year tuỳ kết quả kinh doanh và công việc. Có nhiều cơ hội thăng tiến trong công việc; được tham gia đào tạo nâng cao kỹ năng chuyên môn. Tham gia chế độ BHXH, BHYT, BHTN theo đúng quy định của Pháp luật và Tổng Công ty. Được hưởng chế độ nghỉ mát, nghỉ phép, khám sức khỏe hằng năm và các chế độ phúc lợi khác.",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fsystem-development-junior-middle-senior%2F1156140.html%3Fta_source%3DITJobs_LinkDetail
Nhân Viên Xử Lý Dữ Liệu Hình Ảnh (Full-Time),6.8triệu,6.8,6.8,VND,"Hà Nội: Vũ Trọng Phụng, Thanh Xuân",30-12-2023,Nhân viên,0,10,Toàn thời gian,Không yêu cầu,CÔNG TY TNHH AI DATASET,"Sử dụng hệ thống phần mềm sẵn có để dán nhãn và xử lý dữ liệu hình ảnh cho các dự án AI. Vẽ, nhận diện các đối tượng trong hình ảnh để làm cơ sở dữ liệu đầu vào cho hệ thống trí tuệ nhân tạo. Điền thông tin của các đối tượng (thời tiết, phương tiện giao thông, cảm xúc con người, vật thể...) theo tài liệu hướng dẫn.","Không yêu cầu kinh nghiệm Có kinh nghiệm dán nhãn dữ liệu hình ảnh 2D, 3D là một lợi thế Bắt buộc có laptop cá nhân và chuột máy tính. Chăm chỉ, cẩn thận, tỉ mỉ, nghiêm túc, có định hướng gắn bó lâu dài.",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fnhan-vien-xu-ly-du-lieu-hinh-anh-full-time%2F1127217.html%3Fta_source%3DITJobs_LinkDetail
Backend PHP Developer (Middle Level) - Thu Nhập Upto 30 Triệu - Tại Hà Nội,30triệu,30.0,30.0,VND,"Hà Nội: Trung Kính, Cầu Giấy",01-12-2023,Nhân viên,2,1,Toàn thời gian,Không yêu cầu,MochiMochi,"Phân tích yêu cầu hệ thống, thiết kế giải pháp kỹ thuật cho các ứng dụng của MochiMochi. Đề xuất và thực thi các giải pháp cải thiện performance, tối ưu hóa ứng dụng về mặt tốc độ và khả năng mở rộng Trực tiếp dev và phát triển hệ thống backend/APIs (PHP & Laravel)","Có ít nhất 2 năm kinh nghiệm làm Backend PHP Có kinh nghiệm về SQL (MySQL), NoSQL (MongoDB), Redis Có kinh nghiệm xây dựng và phát triển RESTful API, các hệ thống Backend Có kinh nghiệm sử dụng Framework Laravel Có kinh nghiệm thiết kế DB, hệ thống là điểm cộng Có kinh nghiệm làm việc với các sản phẩm đa nền tảng web, mobile là điểm cộng. Có thể triển khai CI/CD là điểm cộng Có tinh thần trách nhiệm, ham học hỏi và chủ động trong công việc","Quyền lợi 1. Chế độ về lương thưởng, thu nhập Mức lương 12M 18M với Junior, 18M 30M với Middle, 30M 40M với Senior Thưởng 2-3 tháng lương/năm. Thưởng nóng theo dự án, theo sản phẩm. 2. Đào tạo, phát triển Review tăng lương 2 lần/năm. Cơ hội học hỏi, chia sẻ kinh nghiệm từ các chuyên gia trong lĩnh vực 3. Hoạt động chung của công ty Tham gia vào các hoạt động chung như sinh nhật thành viên, giáng sinh, lễ tết... Mỗi năm du lịch nước ngoài 1 lần: Thái Lan, Đài Loan, Indonesia... Chương trình teambuilding, văn hóa, du lịch nghỉ mát thường niên hấp dẫn",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fbackend-php-developer-middle-level-thu-nhap-upto-30-trieu-tai-ha-noi%2F1150956.html%3Fta_source%3DITJobs_LinkDetail
Business Development (Korea Market),15triệu,15.0,15.0,VND,"Hà Nội: B1 Roman Plaza, Tố Hữu, Nam Từ Liêm, Nam Từ Liêm",30-12-2023,Nhân viên,0,3,Toàn thời gian,Không yêu cầu,Công ty CP Phần mềm MOR,"Tham gia tìm kiếm khách hàng, phát triển tệp khách hàng trong lĩnh vực CNTT tại thị trường Hàn Quốc Tham gia support các sự kiện quảng bá dịch vụ và sản phẩm của công ty Tham gia biên, phiên dịch trong các cuộc gặp gỡ khách hàng Phối hợp với các bộ phận khác, đảm bảo dự án được chạy đúng tiến độ","Ứng viên tốt nghiệp cao đẳng/ đại học, có thể đi làm fulltime Giao tiếp và đọc viết tiếng Hàn tốt, topik 5 trở lên hoặc tương đương Kinh nghiệm trong các lĩnh vực MKT, Sales, BD là một lợi thế Có hiểu biết với lĩnh vực CNTT là lợi thế UV có thể sử dụng tiếng Anh/ ngoại ngữ khác là lợi thế Nhanh nhẹn, hoạt bát và giao tiếp tốt"," Lương khởi điểm: up to 15M/ Thỏa thuận theo năng lực. Thử việc 100% lương.  Lương tháng 13 thưởng bonus KPI thưởng mềm theo hiệu quả công việc thưởng tết thưởng thâm niên,....  Thưởng các ngày lễ lớn trong năm.  Xét tăng lương ít nhất 2 lần/năm và theo hiệu quả công việc.  Bonus có hạn và vô thời hạn các chứng chỉ về ngoại ngữ, IT (ISTQB, AWS, salesforce,...) từ 1-10tr/ tháng. Tài trợ chi phí thi, học đối với 1 số chứng chỉ chuyên môn.  Tham gia vào các dự án đa dạng, phát triển và ứng dụng các công nghệ mới nhất.  Cơ hội làm việc và đào tạo ngắn/ dài hạn tại nước ngoài.  Công ty đang scale-up rất nhanh, rất nhiều cơ hội phát triển, thăng tiến.  Hỗ trợ học tiếng Nhật, các khóa nâng cao kỹ năng chuyên môn.  Làm việc từ thứ 2 đến thứ 6 trong môi trường trẻ, năng động. Thời gian làm việc linh hoạt. OT siêu hiếm, nếu OT nhận 150%, 200%, 300% lương.  Các chế độ khác: bảo hiểm, xăng xe, ăn trưa, teambuilding thường xuyên, du lịch hàng năm, nghỉ phép, beauty care...  Chế độ chăm sóc sức khỏe toàn diện với thẻ MOR care.  Nhiều hoạt động phong trào phong phú: clb đá bóng hàng tuần cũng nhiều giải bóng trong cả năm, clb thơ, cờ tướng, bi lắc, bi-a, marathon, đạp xe,...",https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fbusiness-development-korea-market%2F1127505.html%3Fta_source%3DITJobs_LinkDetail
Chuyên Viên Phân Tích Nghiệp Vụ ( Business Analyst ),,,,,"Hà Nội: Tầng 7 và Tầng 8, Toà nhà số 74 Khúc Thừa Dụ, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội., Cầu Giấy",06-12-2023,Nhân viên,2,3,Toàn thời gian,Nữ,TechPlus Solution,"Tìm hiểu, phân tích nghiệp vụ trong lĩnh vực tài chính, ngân hàng. Xây dựng các tài liệu yêu cầu của người sử dụng / tài liệu phân tích thiết kế / tài liệu hướng dẫn sử dụng Hỗ trợ đội phát triển nắm rõ về nghiệp vụ. Xây dựng kịch bản Test và Thực hiện Test Tham gia đào tạo và hỗ trợ người sử dụng","Giới tính: Nữ Từ 02 năm kinh nghiệm trở lên Bằng cấp: Tốt nghiệp Đại học Có khả năng tìm hiểu và phân tích hệ thống Có khả năng thu thập thông tin, hệ thống và mô tả lại các thông tin đó. Sử dụng được UML để mô hình hoá. Có hiểu biết về UI/UX để thiết kế sản phẩm Có khả năng viết các tài liệu. Có khả năng giao tiếp và trình bày các vấn đề nghiệp vụ. Hiểu biết về nghiệp vụ kế toán ngân hàng hoặc các dịch vụ Tài chính/ Ngân hàng là một lợi thế. Thành thạo Tiếng Anh chuyên ngành là một lợi thế. Nâng cao về kỹ năng SQL/ SQL Developer/ Quản lý cơ sở dữ liệu Microsoft Excel, Word, Power Point, Power BI, Agile, Scrum",,https://proxy.scrapeops.io/v1/?api_key=4db8ec44-b4ad-4257-b408-c1d1b2cb7d0e&url=https%3A%2F%2Fwww.topcv.vn%2Fviec-lam%2Fchuyen-vien-phan-tich-nghiep-vu-business-analyst%2F1160201.html%3Fta_source%3DITJobs_LinkDetail
